clip,T,H,W,bpp_raw,bpp_diff,bpp_reduction_pct,entropy_top_raw,entropy_top_diff,entropy_bot_raw,entropy_bot_diff,used_top_raw,used_top_diff,used_bot_raw,used_bot_diff,mean_abs_raw,mean_abs_diff,magnitude_ratio,psnr_raw,psnr_diff_recon
v_ApplyEyeMakeup_g01_c01_clip_0004.pt,32,64,64,0.14167,0.06652,53.05,6.8883,5.0002,8.206,3.6321,141,91,470,269,0.33584,0.00646,0.0192,26.06,25.437
v_ApplyEyeMakeup_g01_c03_clip_0000.pt,32,64,64,0.13983,0.07163,48.78,7.0894,4.8546,8.0631,3.9772,159,81,517,264,0.25396,0.00799,0.0315,27.62,26.582
v_ApplyEyeMakeup_g01_c03_clip_0005.pt,32,64,64,0.13529,0.05246,61.23,6.5446,4.2674,7.8407,2.8239,112,65,399,227,0.27919,0.00612,0.0219,27.013,26.126
v_ApplyEyeMakeup_g01_c05_clip_0001.pt,32,64,64,0.13546,0.07238,46.57,6.7885,4.674,7.821,4.048,132,75,452,272,0.22802,0.00691,0.0303,27.77,26.595
v_ApplyEyeMakeup_g01_c05_clip_0002.pt,32,64,64,0.13909,0.072,48.23,6.8194,5.0826,8.0494,3.973,135,87,493,294,0.26714,0.00753,0.0282,26.903,25.385
v_ApplyEyeMakeup_g01_c05_clip_0004.pt,32,64,64,0.13703,0.06609,51.77,6.6998,4.8897,7.9323,3.6186,124,78,426,263,0.27344,0.0047,0.0172,27.808,26.944
v_ApplyEyeMakeup_g01_c05_clip_0006.pt,32,64,64,0.1414,0.06712,52.53,6.8867,4.913,8.1889,3.6816,143,75,521,287,0.2772,0.00766,0.0276,26.115,25.242
v_ApplyEyeMakeup_g02_c03_clip_0000.pt,32,64,64,0.1317,0.0678,48.52,6.3368,5.3185,7.6367,3.6742,106,81,385,222,0.29787,0.00502,0.0169,27.216,26.32
v_ApplyEyeMakeup_g02_c04_clip_0000.pt,32,64,64,0.12869,0.05593,56.54,6.4608,4.921,7.4289,2.9642,107,79,353,202,0.31079,0.00183,0.0059,25.498,27.509
v_ApplyEyeMakeup_g02_c04_clip_0002.pt,32,64,64,0.1275,0.05531,56.62,6.4088,5.0779,7.3591,2.9051,104,80,311,204,0.30737,0.0015,0.0049,25.691,27.36
v_ApplyEyeMakeup_g02_c04_clip_0003.pt,32,64,64,0.13218,0.06647,49.71,6.6077,5.2694,7.6335,3.5952,121,84,427,254,0.3124,0.00343,0.011,25.657,26.986
v_ApplyEyeMakeup_g03_c02_clip_0003.pt,32,64,64,0.13778,0.08274,39.95,6.5879,5.5727,7.9947,4.5986,131,88,495,308,0.29932,0.0145,0.0484,27.362,24.313
v_ApplyEyeMakeup_g03_c03_clip_0002.pt,32,64,64,0.14122,0.09187,34.95,6.5979,5.8819,8.2135,5.1446,136,98,537,319,0.36985,0.01912,0.0517,25.65,23.238
